GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,EchelonService.EchelonCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryService.FunctionaryImportAllRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,GradeClassDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryService.FunctionaryImportByRegistrationNumberRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryClient,0,249,0,0,0,47,0,23,0,23
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,JobRequestMapperImpl,0,43,0,4,0,14,0,5,0,3
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,GradeService.GradeUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,EchelonDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryUnitSectionRequestMapperImpl,0,35,0,4,0,12,0,5,0,3
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,GradeClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,CategoryService.CategoryCreateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,EchelonService.EchelonUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,JobClient,0,195,0,0,0,38,0,18,0,18
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryService.FunctionaryUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryUnitSectionFilter,6,71,0,0,0,19,2,12,2,12
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,JobService.JobGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,GradeClassFilter,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,JobDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,EchelonRequestMapperImpl,0,43,0,4,0,14,0,5,0,3
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryUnitSectionService.FunctionaryUnitSectionGetManyResponseDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,JobService.JobUpdateRequestDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,FunctionaryDto,0,3,0,0,0,1,0,1,0,1
API du serveur du module des fonctionnaires,ci.gouv.dgbf.system.functionary.server.api,GradeDto,0,3,0,0,0,1,0,1,0,1
